student42,Power electronics,16,85,100,67
student42,Control and instrumentation,93,80,32,68
student43,Computer organization and microprocessors,42,60,44,48
student43,Signals and linear systems,78,12,31,40
student43,Communications engineering,56,78,90,74
student43,Digital system design,70,64,22,52
student43,Electronic circuits,46,69,84,66
student44,Power transmission anddistribution,70,87,68,75
student44,Signals and linear systems,17,63,61,47
student44,Communications engineering,16,31,76,41
student44,Digital system design,57,58,94,69
student44,Electronic circuits,84,46,92,74
student45,Electric circuits theory,44,89,18,50
